ID,ID,ID,ID,ID,ID,ID,Label
16,Apa yang harus diketahui anak-anak tentang hak cipta?,"Anak-anak perlu memahami dasar-dasar hak cipta, risikonya, serta cara melindungi diri secara aman dan bertanggung jawab saat menggunakan teknologi digital.",Hak cipta adalah aturan tentang menyalin karya orang lain.,0.7092,0.6733,0.6908,Medium
17,Kenapa penting mengunci perangkat dengan PIN?,Mengunci perangkat dengan PIN penting karena membantu mencegah orang lain mengakses data pribadi di perangkat kita.,Karena PIN membantu mencegah orang lain mengakses data pribadi di perangkat kita.,0.9526,0.9065,0.929,Good
18,Apa itu ransomware?,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,1,1,1,Good
19,Apa yang dimaksud dengan spam?,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,1,1,1,Good
20,Bagaimana cara membedakan situs asli dan palsu?,"Untuk membedakan situs asli dan palsu, periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.","Periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.",0.9507,0.8756,0.9116,Good
21,Mengapa tidak boleh menggunakan Wi-Fi publik tanpa VPN?,Tidak boleh menggunakan Wi-Fi publik tanpa VPN karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,Karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,0.941,0.8943,0.9171,Good
22,Apa itu 2FA?,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,1,1,1,Good
23,Apa risiko membagikan foto pribadi secara online?,"Risiko membagikan foto pribadi secara online adalah foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.","Foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.",0.9513,0.8369,0.8904,Good
24,Apa itu cyberstalking?,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,1,1,1,Good
25,Mengapa perlu update aplikasi secara berkala?,Perlu update aplikasi secara berkala agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,Agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,0.9277,0.8566,0.8907,Good
26,Apa itu firewall?,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,1,1,1,Good
27,Kenapa penting mengunci perangkat dengan PIN?,Mengunci perangkat dengan PIN penting karena membantu mencegah orang lain mengakses data pribadi di perangkat kita.,Karena PIN membantu mencegah orang lain mengakses data pribadi di perangkat kita.,0.9526,0.9065,0.929,Good
28,Apa itu ransomware?,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,1,1,1,Good
29,Apa yang dimaksud dengan spam?,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,1,1,1,Good
30,Bagaimana cara membedakan situs asli dan palsu?,"Untuk membedakan situs asli dan palsu, periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.","Periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.",0.9507,0.8756,0.9116,Good
31,Mengapa tidak boleh menggunakan Wi-Fi publik tanpa VPN?,Tidak boleh menggunakan Wi-Fi publik tanpa VPN karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,Karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,0.941,0.8943,0.9171,Good
32,Apa itu 2FA?,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,1,1,1,Good
33,Apa risiko membagikan foto pribadi secara online?,"Risiko membagikan foto pribadi secara online adalah foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.","Foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.",0.9513,0.8369,0.8904,Good
34,Apa itu cyberstalking?,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,1,1,1,Good
35,Mengapa perlu update aplikasi secara berkala?,Perlu update aplikasi secara berkala agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,Agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,0.9277,0.8566,0.8907,Good
36,Apa itu firewall?,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,1,1,1,Good
37,Kenapa penting mengunci perangkat dengan PIN?,Mengunci perangkat dengan PIN penting karena membantu mencegah orang lain mengakses data pribadi di perangkat kita.,Karena PIN membantu mencegah orang lain mengakses data pribadi di perangkat kita.,0.9526,0.9065,0.929,Good
38,Apa itu ransomware?,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,1,1,1,Good
39,Apa yang dimaksud dengan spam?,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,1,1,1,Good
40,Bagaimana cara membedakan situs asli dan palsu?,"Untuk membedakan situs asli dan palsu, periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.","Periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.",0.9507,0.8756,0.9116,Good
41,Mengapa tidak boleh menggunakan Wi-Fi publik tanpa VPN?,Tidak boleh menggunakan Wi-Fi publik tanpa VPN karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,Karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,0.941,0.8943,0.9171,Good
42,Apa itu 2FA?,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,1,1,1,Good
43,Apa risiko membagikan foto pribadi secara online?,"Risiko membagikan foto pribadi secara online adalah foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.","Foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.",0.9513,0.8369,0.8904,Good
44,Apa itu cyberstalking?,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,1,1,1,Good
45,Mengapa perlu update aplikasi secara berkala?,Perlu update aplikasi secara berkala agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,Agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,0.9277,0.8566,0.8907,Good
46,Apa itu firewall?,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,1,1,1,Good
47,Kenapa penting mengunci perangkat dengan PIN?,Mengunci perangkat dengan PIN penting karena membantu mencegah orang lain mengakses data pribadi di perangkat kita.,Karena PIN membantu mencegah orang lain mengakses data pribadi di perangkat kita.,0.9526,0.9065,0.929,Good
48,Apa itu ransomware?,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,1,1,1,Good
49,Apa yang dimaksud dengan spam?,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,1,1,1,Good
50,Bagaimana cara membedakan situs asli dan palsu?,"Untuk membedakan situs asli dan palsu, periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.","Periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.",0.9507,0.8756,0.9116,Good
51,Mengapa tidak boleh menggunakan Wi-Fi publik tanpa VPN?,Tidak boleh menggunakan Wi-Fi publik tanpa VPN karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,Karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,0.941,0.8943,0.9171,Good
52,Apa itu 2FA?,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,1,1,1,Good
53,Apa risiko membagikan foto pribadi secara online?,"Risiko membagikan foto pribadi secara online adalah foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.","Foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.",0.9513,0.8369,0.8904,Good
54,Apa itu cyberstalking?,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,1,1,1,Good
55,Mengapa perlu update aplikasi secara berkala?,Perlu update aplikasi secara berkala agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,Agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,0.9277,0.8566,0.8907,Good
56,Apa itu firewall?,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,1,1,1,Good
57,Kenapa penting mengunci perangkat dengan PIN?,Mengunci perangkat dengan PIN penting karena membantu mencegah orang lain mengakses data pribadi di perangkat kita.,Karena PIN membantu mencegah orang lain mengakses data pribadi di perangkat kita.,0.9526,0.9065,0.929,Good
58,Apa itu ransomware?,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,1,1,1,Good
59,Apa yang dimaksud dengan spam?,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,1,1,1,Good
60,Bagaimana cara membedakan situs asli dan palsu?,"Untuk membedakan situs asli dan palsu, periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.","Periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.",0.9507,0.8756,0.9116,Good
61,Mengapa tidak boleh menggunakan Wi-Fi publik tanpa VPN?,Tidak boleh menggunakan Wi-Fi publik tanpa VPN karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,Karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,0.941,0.8943,0.9171,Good
62,Apa itu 2FA?,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,1,1,1,Good
63,Apa risiko membagikan foto pribadi secara online?,"Risiko membagikan foto pribadi secara online adalah foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.","Foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.",0.9513,0.8369,0.8904,Good
64,Apa itu cyberstalking?,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,1,1,1,Good
65,Mengapa perlu update aplikasi secara berkala?,Perlu update aplikasi secara berkala agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,Agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,0.9277,0.8566,0.8907,Good
66,Apa itu firewall?,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,Firewall adalah sistem yang digunakan untuk melindungi jaringan komputer dengan cara memblokir akses yang tidak sah.,1,1,1,Good
67,Kenapa penting mengunci perangkat dengan PIN?,Mengunci perangkat dengan PIN penting karena membantu mencegah orang lain mengakses data pribadi di perangkat kita.,Karena PIN membantu mencegah orang lain mengakses data pribadi di perangkat kita.,0.9526,0.9065,0.929,Good
68,Apa itu ransomware?,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,Ransomware adalah jenis malware yang mengunci data pengguna dan meminta tebusan untuk membukanya.,1,1,1,Good
69,Apa yang dimaksud dengan spam?,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,Spam adalah pesan elektronik yang dikirim secara massal dan sering kali mengganggu atau berbahaya.,1,1,1,Good
70,Bagaimana cara membedakan situs asli dan palsu?,"Untuk membedakan situs asli dan palsu, periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.","Periksa URL, lihat apakah ada ikon gembok, dan hindari mengklik tautan mencurigakan.",0.9507,0.8756,0.9116,Good
71,Mengapa tidak boleh menggunakan Wi-Fi publik tanpa VPN?,Tidak boleh menggunakan Wi-Fi publik tanpa VPN karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,Karena Wi-Fi publik dapat disadap dan membahayakan data pribadi tanpa perlindungan.,0.941,0.8943,0.9171,Good
72,Apa itu 2FA?,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,2FA atau Two-Factor Authentication adalah metode login dengan dua lapisan keamanan.,1,1,1,Good
73,Apa risiko membagikan foto pribadi secara online?,"Risiko membagikan foto pribadi secara online adalah foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.","Foto bisa disalahgunakan, diubah, atau disebarkan tanpa izin.",0.9513,0.8369,0.8904,Good
74,Apa itu cyberstalking?,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,Cyberstalking adalah tindakan menguntit seseorang melalui internet secara terus-menerus.,1,1,1,Good
75,Mengapa perlu update aplikasi secara berkala?,Perlu update aplikasi secara berkala agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,Agar mendapatkan fitur baru dan keamanan dari bug yang telah diperbaiki.,0.9277,0.8566,0.8907,Good
,,,,,,,
RATA-RATA,,,,0.9541,0.9217,0.9372,
JUMLAH,,,,Good: 68,Medium: 7,Bad: 0,
